"","grid","pop","ind","lon","lat"
"226","wes.s1","wes",1,-70.8058287616708,42.5592279253505
"227","wes.s1","wes",2,-70.8058287083674,42.5592099999897
"228","wes.s1","wes",3,-70.8058287616429,42.5591920746287
"229","wes.s1","wes",4,-70.8058044284014,42.5591920506692
"230","wes.s1","wes",5,-70.80578,42.5591919956318
"231","wes.s1","wes",6,-70.8057555715986,42.5591920506692
"232","wes.s1","wes",7,-70.805731238357,42.5591920746287
"233","wes.s1","wes",8,-70.8057312916326,42.5592099999897
"234","wes.s1","wes",9,-70.8057312383292,42.5592279253505
"235","wes.s1","wes",10,-70.8057555715846,42.5592279493255
"236","wes.s1","wes",11,-70.80578,42.5592280043681
"237","wes.s1","wes",12,-70.8058044284154,42.5592279493255
"238","wes.s1","wes",13,-70.8058043541837,42.5592099999974
"239","wes.s1","wes",14,-70.80578,42.55921
"240","wes.s1","wes",15,-70.8057556458163,42.5592099999974
"241","wes.s2","wes",1,-70.8060475362034,42.5592378696554
"242","wes.s2","wes",2,-70.8060474828999,42.5592199442946
"243","wes.s2","wes",3,-70.8060475361754,42.5592020189336
"244","wes.s2","wes",4,-70.8060232029301,42.5592019949741
"245","wes.s2","wes",5,-70.8059987745248,42.5592019399368
"246","wes.s2","wes",6,-70.8059743461195,42.5592019949741
"247","wes.s2","wes",7,-70.8059500128741,42.5592020189336
"248","wes.s2","wes",8,-70.8059500661496,42.5592199442946
"249","wes.s2","wes",9,-70.8059500128462,42.5592378696554
"250","wes.s2","wes",10,-70.8059743461055,42.5592378936304
"251","wes.s2","wes",11,-70.8059987745248,42.559237948673
"252","wes.s2","wes",12,-70.8060232029441,42.5592378936304
"253","wes.s2","wes",13,-70.8060231287124,42.5592199443023
"254","wes.s2","wes",14,-70.8059987745248,42.5592199443049
"255","wes.s2","wes",15,-70.8059744203372,42.5592199443023
"256","wes.s3","wes",1,-70.8062663107706,42.5592478139603
"257","wes.s3","wes",2,-70.8062662574672,42.5592298885995
"258","wes.s3","wes",3,-70.8062663107427,42.5592119632386
"259","wes.s3","wes",4,-70.8062419774934,42.5592119392791
"260","wes.s3","wes",5,-70.8062175490843,42.5592118842417
"261","wes.s3","wes",6,-70.8061931206751,42.5592119392791
"262","wes.s3","wes",7,-70.8061687874258,42.5592119632386
"263","wes.s3","wes",8,-70.8061688407013,42.5592298885995
"264","wes.s3","wes",9,-70.8061687873979,42.5592478139603
"265","wes.s3","wes",10,-70.8061931206611,42.5592478379353
"266","wes.s3","wes",11,-70.8062175490843,42.5592478929779
"267","wes.s3","wes",12,-70.8062419775074,42.5592478379353
"268","wes.s3","wes",13,-70.8062419032757,42.5592298886072
"269","wes.s3","wes",14,-70.8062175490843,42.5592298886098
"270","wes.s3","wes",15,-70.8061931948928,42.5592298886072
"271","lyn.d3","lyn",1,-70.8567817140624,42.5437499751896
"272","lyn.d3","lyn",2,-70.8567816607722,42.5437320497801
"273","lyn.d3","lyn",3,-70.8567817140345,42.5437141243706
"274","lyn.d3","lyn",4,-70.8567573868045,42.543714100411
"275","lyn.d3","lyn",5,-70.8567329644382,42.5437140453735
